Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Filename,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Average Watts,Calories,Relative Effort.1,Weighted Average Power,Power Count,Prefer Perceived Exertion,Commute.1,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Flagged,Average Elapsed Speed,Dirt Distance,Total Steps,Carbon Saved,Training Load,Intensity,Average Grade Adjusted Pace,Total Cycles,Recovery,Media,Runner
11923500129,"Jul 18, 2024, 10:51:28 PM",Evening Walk,Walk,,4227,6.75,,,False,activities/11923500129.gpx,,4227.0,3916.0,6753.7,4.92,1.725,30.9,12.2,3.8,34.7,7.3,0.3,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.598,1183.7,7518.0,,,,,,,media/F9631B68-32CF-49E4-868D-3FA5DAEC6934.jpg,Annie
12023068301,"Jul 30, 2024, 11:20:34 PM",Evening Run,Run,drexel to south Philly for hot pot! had to stop at mile 3 because of stomache cramps😹,1706,4.93,,,False,activities/12023068301.gpx,,1706.0,1658.0,4935.0,5.272,2.976,14.2,36.3,4.4,34.2,9.2,-0.4,,,,,,,,,,0.0,0.0,1.0,4911.0,,,,,,,,,,,,,,,,,,,,0.0,2.893,138.6,4368.0,,,,2.962,,,media/0371DA3C-270F-4EEB-BCD0-2D5B1F837E89.jpg|media/09AD77F4-89D6-449B-AA79-E9EBF5865619.jpg|media/FD73D102-8279-437B-A600-9454AFBF9CA9.jpg,Annie
12052515531,"Aug 3, 2024, 1:20:24 PM",diabolical 4,Run,,3259,6.5,,,False,activities/12052515531.gpx,,3259.0,2124.0,6506.5,10.918,3.063,18.4,18.4,4.4,11.2,12.5,0.0,,,,,,,,,,0.0,0.0,1.0,6523.1,,,,,,,,,,,,,,,,,,,,0.0,1.996,0.0,5738.0,,,,3.071,,,media/960653CC-5F4B-4C4D-B5DE-AF0DE57FEF77.jpg|media/C33A469F-60CE-46BC-8730-740CB4AD87DD.jpg,Annie
12262758682,"Aug 28, 2024, 10:08:31 AM",run to 서울대학교 🇰🇷,Run,"craziest uphill run of my life. barely lasted 1.5 miles but SNU campus was very gorgeous and big, had to hike 50 mins back home bc i got lost 😸 but good eats today!",878,2.29,,,False,activities/12262758682.gpx,,878.0,871.0,2291.1,4.946,2.63,62.9,47.4,65.1,105.7,29.2,0.8,,,,,,,,,,0.0,0.0,1.0,2515.5,,,,,,,,,,,,,,,,,,,,0.0,2.609,0.0,2224.0,,,,2.888,,,media/ACE44BCB-7049-496E-B9F2-26672C396CBA.jpg|media/7B84721F-2304-4792-8F27-004D76F0EDA5.jpg|media/89821A23-248A-4FBA-AA5A-197E4C0560E8.jpg|media/B4998928-EA7A-4938-8116-556024304A4D.jpg|media/16D40E9A-F431-4F6C-A6B0-2D7C25255F1E.jpg|media/D22E4930-4A55-4CFA-89D6-B396C3FAF698.jpg,Annie
12288252123,"Aug 31, 2024, 10:35:49 AM",이브닝런,Run,testing new running shoes! hoping the humidity goes down so i can do longer distances,1038,3.22,,,False,activities/12288252123.gpx,,1038.0,1027.0,3221.3,4.462,3.137,0.0,0.0,76.8,77.0,0.9,0.0,,,,,,,,,,0.0,0.0,1.0,3221.8,,,,,,,,,,,,,,,,,,,,0.0,3.103,0.0,2766.0,,,,3.137,,,media/555FD9F6-17B6-4B20-AD0B-FB8CB5D82DA0.jpg|media/728A9411-BD9E-48F6-B1C5-C8E893F7892F.jpg|media/256DF3E6-F3A5-4137-BA2C-ED4AEE858B9B.jpg|media/4608CD57-A4EB-463D-8BD5-6927857A4E84.jpg|media/D2271B1D-DA01-4C6B-8EE3-235E9E7FD0B6.jpg,Annie
12372613664,"Sep 10, 2024, 7:52:21 AM",Afternoon Walk,Walk,,1861,2.49,,,False,activities/12372613664.gpx,,1861.0,1755.0,2493.6,3.162,1.421,42.8,83.2,48.0,105.7,11.9,-1.6,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,1.34,0.0,3102.0,,,,,,,media/3A7211A0-478E-4CEC-A8B9-44664B131D20.jpg|media/C1514B07-3BF3-4FF6-BDFD-6E085EB0419B.jpg|media/1114B910-E526-4DA0-8229-02D92C731A8C.jpg|media/F5E7FFC3-2023-45DD-8F71-DFAC81FCCDBE.jpg|media/40D0242D-5DE0-49EA-B4A6-D241D21FF7CB.jpg|media/9AA7EF44-0A6B-4B37-BE37-37F6066747B8.jpg|media/3AB557AE-4729-4E93-85B1-B6016A0228CE.jpg,Annie
12382573052,"Sep 11, 2024, 11:19:42 AM",Evening Run,Run,,585,1.85,,,False,activities/12382573052.gpx,,585.0,576.0,1858.7,8.018,3.227,20.7,20.7,45.4,67.1,17.7,-0.1,,,,,,,,,,,0.0,1.0,1912.8,,,,,,,,,,,,,,,,,,,,0.0,3.177,0.0,1550.0,,,,3.321,,,,Annie
12393647092,"Sep 12, 2024, 7:58:04 AM",Night walk,Run,,34921,2.48,,,False,activities/12393647092.gpx,,34921.0,1954.0,2482.1,3.182,1.27,48.1,70.0,43.8,105.7,22.6,-0.8,,,,,,,,,,0.0,0.0,1.0,2552.1,,,,,,,,,,,,,,,,,,,,0.0,0.071,0.0,3070.0,,,,1.306,,,media/0026EE12-45AB-4EC4-B701-D8D5E77BC416.jpg|media/71D06694-4829-4BEE-8ACE-3256FC14D574.jpg|media/BE0CCFC3-E9A4-4AB6-BAE8-D41EFAC93257.jpg|media/FC860D09-39B9-4434-B697-62F77BB9BDC7.jpg,Annie
12432921532,"Sep 17, 2024, 1:06:38 PM",Night Walk,Walk,,3223,3.32,,,False,activities/12432921532.gpx,,3223.0,2319.0,3326.9,3.05,1.435,15.6,14.9,32.5,48.4,7.2,0.0,,,,,,,,,,0.0,0.0,1.0,,1726578048.0,3.0,27.3,29.5,24.6,0.85,1014.7,0.6,1.6,12.0,0.0,1726521344.0,1726565760.0,0.375,0.5,5.0,0.69,24670.0,0.0,0.0,1.032,0.0,4114.0,,,,,,,,Annie
12440908488,"Sep 18, 2024, 9:41:20 AM",Evening Walk,Walk,from the han river,6793,7.48,,,False,activities/12440908488.gpx,,6793.0,5224.0,7485.7,3.322,1.433,99.7,63.9,-5.9,85.6,45.3,0.5,,,,,,,,,,0.0,0.0,1.0,,1726649984.0,1.0,29.9,32.0,24.8,0.74,1012.8,1.2,3.6,309.0,0.0,1726607744.0,1726652160.0,0.375,0.55,5.0,0.16,24689.0,0.0,0.0,1.102,0.0,9006.0,,,,,,,media/0B89CAB1-C73F-431A-8BD5-2FF20584DF4E.jpg|media/224B4B58-F685-4D4E-8DA8-56BFA07B8440.jpg|media/708E09F6-B93D-4652-A9F2-F67B69F449B4.jpg|media/33A62EDC-533A-4AD0-9495-954C95942124.jpg,Annie
12474595121,"Sep 22, 2024, 10:46:37 AM",Evening Run,Walk,,1220,3.98,,,False,activities/12474595121.gpx,,1220.0,1220.0,3979.2,4.792,3.262,0.0,0.0,76.8,77.0,0.8,0.0,,,,,,,,,,0.0,0.0,1.0,,1726999168.0,2.0,20.0,18.3,14.8,0.72,1014.9,3.6,7.9,53.0,0.0,1726953600.0,1726997376.0,0.625,0.0,1.0,0.47,27332.0,0.0,0.0,3.262,0.0,3382.0,,,,,,,media/C03A3817-91BE-4F34-81BE-727F41500871.jpg|media/204DFFCC-0659-49CD-8ABE-A33DA66E079D.jpg|media/F80BBD71-D2CF-4960-BB01-93EE85AD6ACE.jpg|media/6D159FC0-6EFA-45B0-94C2-25E706DE6F10.jpg|media/A565B0F3-84CD-4F0D-9581-6EE4817064AF.jpg,Annie
12520234123,"Sep 28, 2024, 3:39:25 AM",Afternoon Weight Training,Weight Training,,2990,0.0,,,False,activities/12520234123.gpx,,2990.0,2990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,92.0,,,Annie
12560964581,"Oct 3, 2024, 12:23:20 AM",Morning Run,Run,didn't commit to mile 3 because i got humbled and dropped my phone down this hill,1414,3.25,,,False,activities/12560964581.gpx,,1414.0,1179.0,3252.1,5.308,2.758,61.8,66.9,38.6,105.7,18.7,-0.1,,,,,,,,,,0.0,0.0,1.0,3446.7,1727913600.0,1.0,14.3,15.9,9.3,0.72,1023.5,2.2,5.1,53.0,0.0,1727904512.0,1727946752.0,0.0,0.16,5.0,0.09,25611.0,2.0,0.0,2.3,0.0,2996.0,,,,2.923,,,media/A0022142-4D4A-43BC-B5ED-A279BA5AEADC.mp4,Annie
12569439994,"Oct 4, 2024, 1:36:39 AM",Morning Weight Training,Weight Training,,4585,0.0,174.0,33.0,False,activities/12569439994.gpx,,4585.0,4585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,174.0,125.0,,,33.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,766.0,,,Annie
